dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596,911,0.0,911,0.6542261251372119,0.6542261251372119,0.6542261251372119
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Surface_club,75,911,0.0,911,0.08232711306256861,0.08232711306256861,0.08232711306256861
GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Transitional_secretory,172,911,0.0,911,0.18880351262349068,0.18880351262349068,0.18880351262349068
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Ambiguous_secretory,58,1129,0.0004213631517413355,1129,0.05137289636846767,0.05137289636846767,0.05137289636846767
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Goblet,9,1129,0.000471253534401508,1129,0.007971656333038087,0.007971656333038087,0.007971656333038087
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Inflammatory_secretory,5,1129,0.0,1129,0.0044286979627989375,0.0044286979627989375,0.0044286979627989375
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Mucous_glandular,7,1129,0.0001256965684836804,1129,0.006200177147918512,0.006200177147918512,0.006200177147918512
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875,1129,0.00014194464158978,1129,0.775022143489814,0.775022143489814,0.775022143489814
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Surface_club,3,1129,0.00141643059490085,1129,0.002657218777679362,0.002657218777679362,0.002657218777679362
GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Transitional_secretory,172,1129,0.00016685812040535358,1129,0.15234720992028344,0.15234720992028344,0.15234720992028344
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Ambiguous_secretory,105,2455,6.481861590648834e-05,2455,0.04276985743380855,0.04276985743380855,0.04276985743380855
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Goblet,19,2455,4.803766152663688e-05,2455,0.007739307535641548,0.007739307535641548,0.007739307535641548
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Inflammatory_secretory,28,2455,6.304525664177477e-05,2455,0.011405295315682282,0.011405295315682282,0.011405295315682282
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Mucous_glandular,2,2455,0.0,2455,0.000814663951120163,0.000814663951120163,0.000814663951120163
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945,2455,6.946856547412296e-05,2455,0.7922606924643585,0.7922606924643585,0.7922606924643585
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Surface_club,3,2455,5.869577977343429e-05,2455,0.0012219959266802445,0.0012219959266802445,0.0012219959266802445
GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Transitional_secretory,353,2455,5.791729410401946e-05,2455,0.14378818737270876,0.14378818737270876,0.14378818737270876
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Ambiguous_secretory,1,66,0.0,65,0.015151515151515152,0.015384615384615385,0.015384615384615385
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Goblet,0,66,,65,0.0,0.0,0.0
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Inflammatory_secretory,1,66,0.0,65,0.015151515151515152,0.015384615384615385,0.015384615384615385
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Mucous_glandular,3,66,0.0,65,0.045454545454545456,0.046153846153846156,0.046153846153846156
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53,66,1.2034563265699088e-05,65,0.803030303030303,0.8153846153846154,0.8153846153846154
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Surface_club,0,66,,65,0.0,0.0,0.0
GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Transitional_secretory,7,66,0.0,65,0.10606060606060606,0.1076923076923077,0.1076923076923077
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Ambiguous_secretory,2,128,0.0,128,0.015625,0.015625,0.015625
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Goblet,0,128,,128,0.0,0.0,0.0
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Inflammatory_secretory,4,128,0.0,128,0.03125,0.03125,0.03125
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Mucous_glandular,2,128,0.13309786354238456,128,0.015625,0.015625,0.015625
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105,128,0.0,128,0.8203125,0.8203125,0.8203125
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Surface_club,0,128,,128,0.0,0.0,0.0
GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Transitional_secretory,15,128,0.0,128,0.1171875,0.1171875,0.1171875
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Ambiguous_secretory,57,1113,0.0,1113,0.05121293800539083,0.05121293800539083,0.05121293800539083
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Goblet,21,1113,2.3430178069353328e-05,1113,0.018867924528301886,0.018867924528301886,0.018867924528301886
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Inflammatory_secretory,604,1113,0.0,1113,0.5426774483378257,0.5426774483378257,0.5426774483378257
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Mucous_glandular,2,1113,0.0,1113,0.0017969451931716084,0.0017969451931716084,0.0017969451931716084
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216,1113,0.0,1113,0.1940700808625337,0.1940700808625337,0.1940700808625337
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Surface_club,1,1113,0.014805675508945095,1113,0.0008984725965858042,0.0008984725965858042,0.0008984725965858042
GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Transitional_secretory,212,1113,0.0,1113,0.19047619047619047,0.19047619047619047,0.19047619047619047
GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Ambiguous_secretory,3,124,0.0,124,0.024193548387096774,0.024193548387096774,0.024193548387096774
