network,source,effect_paired,se_paired,p_paired,n_paired,loo_sign_stability,effect_external,se_external,p_external,n_external_np,n_external_it,meta_effect,meta_se,meta_p,meta_fdr,direction_concordant,fisher_p,fisher_fdr,source_detected_fraction_paired,source_detected_fraction_external,replicated_priority
CollecTRI,HDAC3,0.36190318175702585,0.9604182836049492,0.731383068997914,4,0.5,0.08156630390401698,0.2035499547491382,0.6938154414810015,15,6,0.09361719524458237,0.1991268796544265,0.63825613131522,0.7078096840867504,True,0.8516788258070667,0.8616399816644593,1.0,1.0,False
CollecTRI,HNF1B,0.8879959112523118,1.4535838161941623,0.584437871023655,4,0.75,0.05827465399774673,0.5246691445272458,0.9149164540390704,15,6,0.15391376924428268,0.4935052141038467,0.7551327035096086,0.8139436617268678,True,0.8694560366089082,0.8745110135659367,0.55,0.13793103448275862,False
CollecTRI,YBX1,0.48095647248240736,1.6430738079666114,0.7888164697187229,4,0.75,0.2073287289485373,1.1671130926642308,0.8654467719973068,15,6,0.29909069643650066,0.9514990664839809,0.7532656306354472,0.8139436617268678,True,0.943278279461451,0.9460124194019189,1.0,1.0,False
CollecTRI,SMAD7,0.02233177709734563,0.6814491031644171,0.9759156058180392,4,0.5,0.03406830403405134,0.6970606303071569,0.9621246800364014,15,6,0.02806714225672323,0.48728303517473937,0.9540678390976911,0.9680571036005898,True,0.9980974805152267,0.9980974805152267,0.95,1.0,False
CollecTRI,HDAC4,-0.057759571264296816,0.9939402749523848,0.9573138034249595,4,0.5,1.5699606370863213,0.3126166634680183,8.427377216204334e-05,15,6,1.4234343359544275,0.2982141210844598,1.81325512405609e-06,4.182575152822714e-05,False,0.0008410570984295578,0.06047993976948005,1.0,1.0,False
CollecTRI,RB1,1.052496290855895,0.6145592767632438,0.18530452137488196,4,1.0,-2.4813968740762813,0.45552881249857136,0.000686392591022468,15,6,-1.2282888319112257,0.3659580706781707,0.0007897428805890589,0.004203862102827914,False,0.0012680772954674223,0.06266720437256147,1.0,1.0,False
CollecTRI,VHL,-0.6776520189088843,0.5847370761881873,0.33036499118585494,4,1.0,1.3814752469011606,0.34704715711844963,0.001552159497243727,15,6,0.8450852265018124,0.2984416151900482,0.004630703866853291,0.0163113447416376,False,0.004397422434878632,0.08007937697200035,1.0,1.0,False
CollecTRI,FOXP1,0.6116261568189346,0.5861722721027532,0.37343352349947084,4,1.0,-1.709399103699204,0.3799533628062658,0.002144908978186625,15,6,-1.0227197130535959,0.3188323234382224,0.001337991391803753,0.006520352416395754,False,0.006511713285206138,0.08262009826068013,1.0,1.0,False
CollecTRI,EOMES,1.860984264824518,0.7761631065797016,0.09607547904916326,4,1.0,-1.7890442046388988,0.74924407872701,0.05253272836082656,15,6,-0.028422369404047833,0.5390609985412442,0.9579504605134022,0.9691545594667753,False,0.03174095368317003,0.15266830529365782,0.05,0.3793103448275862,False
CollecTRI,IRF5,0.8271478670809189,0.5781119351928588,0.24787365547937434,4,1.0,-1.4743517552801804,0.49876252253403125,0.019346139227331957,15,6,-0.4922719804670343,0.37764163142445584,0.19238955872435903,0.26017834207404106,False,0.030403297340377274,0.15266830529365782,0.85,0.8620689655172413,False
CollecTRI,SMAD6,-1.2612497586668328,0.33648718695291396,0.03315531594888252,4,1.0,0.8725184903952086,0.5745871217428452,0.17253800806262856,15,6,-0.716353154138664,0.29036168934659906,0.013620991358674828,0.03740367468334516,False,0.03525970989288335,0.1616994266435935,0.45,0.4482758620689655,False
CollecTRI,TWIST2,-1.5066303369322902,0.31618114841486444,0.01755319281315988,4,1.0,0.08803423476600222,0.3837409835712573,0.8250508544134326,15,6,-0.861801827263873,0.244020114632198,0.0004129231616248083,0.002976487790045493,False,0.0758122519315416,0.2282335455566606,0.0,0.034482758620689655,False
CollecTRI,ID3,1.3471441611061294,1.1150801480904489,0.31355088178757234,4,1.0,-1.5454908217254548,0.6130131035107836,0.049734687799403085,15,6,-0.8741614350009143,0.5371889816235569,0.10367584593910074,0.16125248308002063,False,0.08048007002832755,0.22960544015198947,1.0,1.0,False
CollecTRI,TFE3,3.74102850239814,1.1682321271280198,0.049245174477707106,4,1.0,-0.8529187096367563,0.7832183357966098,0.31900782096200797,15,6,0.5716457189101483,0.6505447749966061,0.37955393361693235,0.4673511068735181,False,0.0809591436374067,0.22960544015198947,1.0,1.0,False
CollecTRI,ELK3,0.379102171521706,0.5168992767309724,0.5164200779729133,4,1.0,-0.5672836691600948,0.24993534331638068,0.03735582732513816,15,6,-0.38794780161144427,0.22501184801322913,0.08468588209074347,0.13953007239712972,False,0.09545529909387562,0.25132473470327926,1.0,1.0,False
CollecTRI,HAND2,0.37594790327496014,0.21009218217299785,0.17148472180037233,4,1.0,-0.9362871952424483,0.5033923051527347,0.1108862608015544,15,6,0.18128537007367196,0.19388398308224514,0.34977807696190155,0.4384899080754273,False,0.09436364063298386,0.25132473470327926,0.0,0.0,False
CollecTRI,TFAP2B,1.1746223628845172,0.557980947860786,0.12594889088085665,4,1.0,-0.7699141627238342,0.5231521537975143,0.18581752565387044,15,6,0.13977563654572206,0.3816435967040292,0.7141811372073941,0.7795666409135894,False,0.11128063519911084,0.2750221412778025,0.0,0.5517241379310345,False
CollecTRI,GTF3A,2.9008124926667382,1.298140877856821,0.11152007621337802,4,1.0,-0.8098963232414536,0.6270484545389473,0.23880760675885615,15,6,-0.10789422847290188,0.5646282350522145,0.848455888237005,0.8922970739513791,False,0.12318952083359455,0.27731230632642995,1.0,1.0,False
CollecTRI,ATF3,2.459514228893874,1.0613141379736744,0.10332714108991993,4,1.0,-0.708288187638166,0.5983142431691727,0.2750044795175895,15,6,0.05568003251086422,0.5211977752028881,0.9149231253167939,0.9421529802369365,False,0.1295977339796481,0.28201771042112106,1.0,1.0,False
CollecTRI,ELF4,2.8541914388552154,0.9649738745588983,0.05964972731862401,4,1.0,-0.738190842674483,1.0194701355945526,0.49534776580436934,15,6,1.1565789793209815,0.7008135855977707,0.0988739152314853,0.1547980754302892,False,0.13360609356740805,0.28321747691252463,1.0,0.9310344827586207,False
