network,column,source,activity,dataset,donor,disease,tissue,subtype,n_cells
CollecTRI,CRSwNP_2|CRSwNP|Nasal_polyp|Serous_glandular,AR,2.235778998381481,GSE235711,CRSwNP_2,CRSwNP,Nasal_polyp,Serous_glandular,378
CollecTRI,CRSwNP_3|CRSwNP|Nasal_polyp|Serous_glandular,AR,4.934515003511456,GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327
CollecTRI,CRSwNP_4|CRSwNP|Nasal_polyp|Serous_glandular,AR,4.192002957890126,GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427
CollecTRI,CRSwNP_5|CRSwNP|Nasal_polyp|Serous_glandular,AR,6.078507466090846,GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339
CollecTRI,CRSwNP_6|CRSwNP|Nasal_polyp|Serous_glandular,AR,1.54250872604736,GSE235711,CRSwNP_6,CRSwNP,Nasal_polyp,Serous_glandular,64
CollecTRI,HC_1|Healthy|Ethmoid|Serous_glandular,ARNT,-1.8270724681632482,GSE235711,HC_1,Healthy,Ethmoid,Serous_glandular,1847
CollecTRI,HC_2|Healthy|Ethmoid|Serous_glandular,ARNT,-2.627676895997141,GSE235711,HC_2,Healthy,Ethmoid,Serous_glandular,792
CollecTRI,HC_3|Healthy|Ethmoid|Serous_glandular,ARNT,-1.2693140908367146,GSE235711,HC_3,Healthy,Ethmoid,Serous_glandular,680
CollecTRI,HC_4|Healthy|Ethmoid|Serous_glandular,ARNT,-1.008246881436622,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
CollecTRI,HC_5|Healthy|Ethmoid|Serous_glandular,ARNT,1.0624874271517766,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
CollecTRI,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,ARNT,-0.4496219344799374,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
CollecTRI,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,ARNT,-0.3879301110740332,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
CollecTRI,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,ARNT,0.8144056111795615,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
CollecTRI,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,ARNT,1.74046977376727,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
CollecTRI,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,ARNT,-0.11370990565996057,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
