network,column,source,activity,dataset,donor,disease,tissue,subtype,n_cells
PROGENy,HC_4|Healthy|Ethmoid|Serous_glandular,MAPK,-1.9560370619351812,GSE235711,HC_4,Healthy,Ethmoid,Serous_glandular,816
PROGENy,HC_5|Healthy|Ethmoid|Serous_glandular,MAPK,-1.1836221020078528,GSE235711,HC_5,Healthy,Ethmoid,Serous_glandular,242
PROGENy,CRSsNP_1|CRSsNP|Ethmoid|Serous_glandular,MAPK,0.6044401512527751,GSE235711,CRSsNP_1,CRSsNP,Ethmoid,Serous_glandular,2785
PROGENy,CRSsNP_2|CRSsNP|Ethmoid|Serous_glandular,MAPK,-5.53870655152103,GSE235711,CRSsNP_2,CRSsNP,Ethmoid,Serous_glandular,596
PROGENy,CRSsNP_3|CRSsNP|Ethmoid|Serous_glandular,MAPK,0.30353369012687503,GSE235711,CRSsNP_3,CRSsNP,Ethmoid,Serous_glandular,875
PROGENy,CRSsNP_4|CRSsNP|Ethmoid|Serous_glandular,MAPK,1.1293289424416488,GSE235711,CRSsNP_4,CRSsNP,Ethmoid,Serous_glandular,1945
PROGENy,CRSsNP_5|CRSsNP|Ethmoid|Serous_glandular,MAPK,-1.2895009831254758,GSE235711,CRSsNP_5,CRSsNP,Ethmoid,Serous_glandular,53
PROGENy,CRSwNP_1|CRSwNP|Ethmoid|Serous_glandular,MAPK,3.5679237047060663,GSE235711,CRSwNP_1,CRSwNP,Ethmoid,Serous_glandular,105
PROGENy,CRSwNP_2|CRSwNP|Ethmoid|Serous_glandular,MAPK,-1.2349817918786878,GSE235711,CRSwNP_2,CRSwNP,Ethmoid,Serous_glandular,68
PROGENy,CRSwNP_3|CRSwNP|Ethmoid|Serous_glandular,MAPK,-0.02858493004520761,GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490
PROGENy,CRSwNP_6|CRSwNP|Ethmoid|Serous_glandular,MAPK,2.1869572510028132,GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129
PROGENy,CRSwNP_1|CRSwNP|Nasal_polyp|Serous_glandular,MAPK,4.8674740959410885,GSE235711,CRSwNP_1,CRSwNP,Nasal_polyp,Serous_glandular,216
