paired_top_ranked_percentage,external_top_ranked_percentage,direction,overlap_p_value,minus_log10_p,p_value_underflow
8.69537067011978,25.7882809970864,Concordant decreases,5.302686636290558e-82,81.2755040368737,False
8.69537067011978,27.2126901910003,Concordant decreases,1.493394743339755e-85,84.8258253816957,False
8.69537067011978,28.6370993849142,Concordant decreases,7.928970645539797e-84,83.1007831899811,False
8.69537067011978,30.0615085788281,Concordant decreases,2.363707693932348e-81,80.6264062311585,False
8.69537067011978,31.485917772742,Concordant decreases,3.691786166672413e-78,77.4327634618508,False
8.69537067011978,32.9103269666559,Concordant decreases,1.3469639049914394e-76,75.8706440420447,False
8.69537067011978,34.3347361605698,Concordant decreases,3.311330234014445e-75,74.4799975055486,False
8.69537067011978,35.7591453544836,Concordant decreases,1.131163873700712e-77,76.9464744735109,False
8.69537067011978,37.1835545483975,Concordant decreases,2.4291777520968543e-73,72.6145407050671,False
8.69537067011978,38.6079637423114,Concordant decreases,1.3593659565741284e-70,69.8666636105776,False
8.69537067011978,40.0323729362253,Concordant decreases,2.459909843379352e-69,68.609080809661,False
8.69537067011978,41.4567821301392,Concordant decreases,2.5133628839150144e-67,66.5997448026513,False
8.69537067011978,42.8811913240531,Concordant decreases,3.676770269201236e-64,63.4345335047341,False
8.69537067011978,44.305600517967,Concordant decreases,5.341941248472715e-62,61.2723008927288,False
8.69537067011978,45.7300097118809,Concordant decreases,2.2453981930389098e-60,59.6487066311841,False
8.69537067011978,47.1544189057948,Concordant decreases,4.936987288553931e-58,57.3065379909733,False
8.69537067011978,48.5788280997086,Concordant decreases,1.2792012180740038e-56,55.8930611357201,False
8.69537067011978,49.9967627063775,Concordant decreases,9.737080065020462e-56,55.0115712589088,False
10.1197798640337,2.99773389446423,Concordant decreases,6.15502249702576e-77,76.2107703553539,False
10.1197798640337,4.42214308837812,Concordant decreases,1.1509171029414592e-84,83.9389559561544,False
10.1197798640337,5.846552282292,Concordant decreases,7.513648014674604e-89,88.1241491538115,False
10.1197798640337,7.27096147620589,Concordant decreases,2.7668632173587546e-89,88.558012310109,False
10.1197798640337,8.69537067011978,Concordant decreases,6.203339731418354e-90,89.2073744336601,False
10.1197798640337,10.1197798640337,Concordant decreases,1.9457135889462497e-90,89.7109210879601,False
