gene,paired_effect,external_effect,paired_se,paired_ci_low,paired_ci_high,paired_p_value,paired_fdr,external_se,external_ci_low,external_ci_high,external_p_value,external_fdr,strong_gene,locked_40_gene_module,same_direction
SPEF2,0.8926525164190278,1.578037980124476,0.5512173883874091,-0.8615672246626169,2.6468722575006725,0.2037947121282812,0.5279130703462096,0.4475260918136934,0.625937534034871,2.530138426214081,0.0029678030383919,0.0194839519809878,True,False,True
SPEG,-0.5195361728793765,0.5496190153422542,0.6082271999491417,-2.455186578130577,1.4161142323718243,0.4557877296216507,0.7234065599227827,0.3138997367852747,-0.1154441781126167,1.2146822087971252,0.0989694897166444,0.201687605848014,True,False,False
SPEN,0.0705309153165241,-0.9799553282421593,0.121305080950315,-0.3155159913659471,0.4565778219989954,0.601753066945523,0.8113307964261496,0.3979507735769975,-1.976066828719573,0.0161561722352547,0.0526915530774302,0.1278367203425095,False,False,False
SPESP1,-0.1561171733789306,0.3497827511355402,0.4965051597543556,-1.7362181845934768,1.4239838378356156,0.7737915602851168,0.8999689118862744,0.3748195783698095,-0.4348853763462765,1.134450878617357,0.3624589155127246,0.5053382070144601,False,False,False
SPG11,0.4581161875977868,0.9537840472973524,0.1484446670772479,-0.0143009946812708,0.9305333698768444,0.0538775367759819,0.3791102466941556,0.1924562638256469,0.537250338837455,1.37031775575725,0.0002768516757962,0.00477617226416,False,False,True
SPG21,0.2942206578371842,0.7715971129824704,0.1121351691179022,-0.0626434968144473,0.6510848124888158,0.0787433542694695,0.4062672044614079,0.2389882158372725,0.2114440306320224,1.3317501953329185,0.0136219832131449,0.0505585146180186,False,False,True
SPG7,0.3254197484800005,0.5021539048963719,0.1956472151811123,-0.2972170086121769,0.948056505572178,0.1948401343572419,0.5200678178120075,0.1409061903607356,0.1697063792194593,0.8346014305732845,0.0090060446670513,0.0386180517041907,False,False,True
SPHK1,-0.108721166274195,-2.180760209870069,0.4147522608296676,-1.4286479663596354,1.2112056338112451,0.8101861672780407,0.9186328478967282,0.3882471943691462,-3.0608744042935614,-1.300646015446577,0.0003436987143385,0.0054734215393938,False,False,True
SPHK2,0.0336865140021064,1.4087530675490534,0.408358608089496,-1.2658928295431076,1.3332658575473206,0.939450865504695,0.9753006950927232,0.1844335460750037,0.9914118136840382,1.8260943214140688,3.231973224063567e-05,0.0012339568187772,False,False,True
SPI1,0.9811035550914248,0.563215442833689,0.6336970957450507,-1.0356034259314282,2.9978105361142777,0.2193226241507409,0.541715411738644,0.2649726810871832,0.0078362100924678,1.11859467557491,0.0471614875063244,0.118424630514672,True,False,True
SPIB,1.6867791319661127,0.5136578137388386,0.8012980973259667,-0.8633090372997749,4.236867301232,0.1259574771163351,0.4518291947204286,0.5202734097899877,-0.600077079446361,1.627392706924038,0.3399229396236339,0.4833035199285204,True,False,True
SPICE1,0.2039659084276776,0.0552623645515972,0.3808505031801377,-1.0080703682833927,1.4160021851387476,0.6294250804506486,0.8275055316409495,0.1874320127070054,-0.3502453600862287,0.4607700891894232,0.7728375861155431,0.8481498408426459,False,False,True
SPIDR,0.0918241156475645,1.112085667179275,0.1259191597152446,-0.3089068489526448,0.4925550802477739,0.5186361096237212,0.7638936266598564,0.1604948074373801,0.7384524266271181,1.4857189077314317,0.000155251696817,0.0032692992451846,False,False,True
SPIN1,0.1810192707944794,0.234851550912599,0.184994162973704,-0.4077147196602371,0.769753261249196,0.399982635309225,0.6872469726157893,0.195237241126088,-0.2170723641047279,0.6867754659299259,0.2641217300029656,0.4056640680755453,False,False,True
SPIN2B,-0.0293764813284289,0.7216398852846606,0.1962078795007905,-0.6537975225132706,0.5950445598564127,0.8904837597014619,0.9561174772617074,0.0927756701553114,0.5269333303502599,0.9163464402190612,3.2993066575662935e-07,7.887217517638876e-05,False,False,False
SPIN3,-0.055830184476943,0.4672617166843957,0.291333193705569,-0.9829824303917338,0.8713220614378476,0.8602638860011002,0.9420499310871716,0.2507811520667626,-0.115345008766847,1.0498684421356386,0.1010078653562028,0.2046641892202183,False,False,False
SPIN4,1.0386026299250848,0.0902630619560642,0.3020568581130454,0.0773228978376183,1.9998823620125512,0.0412830886742017,0.3686146411842828,0.3879396623533384,-0.7371316786913293,0.917657802603458,0.8191828033352297,0.8822581597175665,False,False,True
SPINDOC,0.1867232490129897,0.1700601087004378,0.4366555931025012,-1.202909729937531,1.5763562279635106,0.6977646521663781,0.863992229810811,0.2320017598236378,-0.3230097063769206,0.6631299237777963,0.4744801789042548,0.6082183305588688,False,False,True
SPINK2,0.4959652035247762,0.2534533211591114,0.5626341173219762,-1.2945876643731071,2.2865180714226594,0.4429538732136523,0.7157304955783829,0.2863263382932269,-0.362756475619076,0.8696631179372989,0.391538060795227,0.5328149417781998,False,False,True
SPINK5,0.8886108116197704,-0.905058108056454,0.7330365204705271,-1.444238554589684,3.2214601778292247,0.31218385288508,0.6210485626207617,0.7917655619296563,-2.72889899358556,0.9187827774726516,0.2858556985622353,0.4281338336092579,True,False,False
SPINT1,0.1780056308049236,0.721730235247346,0.3310112514955867,-0.8754199035245427,1.23143116513439,0.6280730321254345,0.8267607176574937,0.1734930274248644,0.3555028362986226,1.0879576341960693,0.0006644778385189,0.0081603657747202,False,False,True
SPINT1-AS1,0.0044916736586708,0.6023438158895473,0.1138238632528449,-0.3577466594034634,0.3667300067208051,0.9710015942779862,0.9880801763947334,0.1368972789872446,0.2983498440949493,0.9063377876841452,0.0012564104757462,0.0116231781786602,False,False,True
SPINT2,0.1007471521361402,0.7701423320733554,0.1148018569446914,-0.2646035933372018,0.4660978976094824,0.4447804625626876,0.7168248626237592,0.2457107165893699,0.1544474087758661,1.3858372553708445,0.0228857228483818,0.0712305003049872,False,False,True
SPIRE1,0.8109641400309591,-0.9023379311593334,0.1048929943231472,0.477147817797114,1.144780462264804,0.0044993357621528,0.3266802321025554,0.3516243553214688,-1.7728571839024498,-0.0318186784162169,0.0443828320574676,0.1132413905489699,True,False,False
SPIRE2,0.8407742205467927,0.9919595959098224,0.3531987950930216,-0.2832619799276514,1.964810421021237,0.0975776543408408,0.4259865951640811,0.5041198138908595,-0.1742979007334211,2.158217092553066,0.0853105995384066,0.1810603180678523,True,False,True
SPN,0.3519516916035254,-0.0094108663505816,0.6516719393151407,-1.7219592639270125,2.425862647134063,0.6266603347941259,0.8262583720514477,0.3989310707014785,-0.9413039545759928,0.9224822218748296,0.9817989951518628,0.9897879551762284,False,False,False
