library,direction,term,overlap,query_size,term_size,p,genes,fdr
Reactome_2024,up,Orc1 Removal From Chromatin,8,2300,57,0.6289770655055598,CCNA2;CDT1;MCM2;PSMA4;PSMA5;PSMB5;RBX1;SEM1,0.9999999999999972
Reactome_2024,up,S Phase,21,2300,148,0.6305841632178801,ANAPC10;CCNA2;CDC16;CDC25A;CDC26;CDT1;E2F1;GINS1;LIG1;MCM2;PCNA;POLD3;PRIM2;PSMA4;PSMA5;PSMB5;RBX1;RFC5;RPA3;SEM1;UBE2C,0.9999999999999972
Reactome_2024,up,Viral Messenger RNA Synthesis,6,2300,43,0.6340162844089481,NDC1;NUP133;NUP50;NUP93;POLR2H;POLR2I,0.9999999999999972
Reactome_2024,up,Metabolism of Water-Soluble Vitamins and Cofactors,16,2300,114,0.6417985954950178,ABCC1;ACP5;AMN;CD38;COASY;CYB5A;DHFR;MOCOS;MTHFD1L;NADK;NMNAT1;NUDT8;PARP4;PRSS3;SLC19A2;VNN2,0.9999999999999972
Reactome_2024,up,ABC-family Proteins Mediated Transport,11,2300,79,0.643781678194588,ABCA10;ABCA5;ABCB10;ABCC1;ABCG1;DERL3;PEX19;PSMA4;PSMA5;PSMB5;SEM1,0.9999999999999972
Reactome_2024,up,Opioid Signalling,10,2300,72,0.6450370674971857,ADCY7;ADCY9;CAMKK2;CDK5;GNA14;GNAI2;GNAL;ITPR3;PLCB2;PRKX,0.9999999999999972
Reactome_2024,up,Defective TPR May Confer Susceptibility Towards Thyroid Papillary Carcinoma (TPC),4,2300,29,0.645499438930813,NDC1;NUP133;NUP50;NUP93,0.9999999999999972
Reactome_2024,up,Infection With Mycobacterium Tuberculosis,4,2300,29,0.645499438930813,ATP6V1H;DLAT;MRC1;PGK1,0.9999999999999972
Reactome_2024,up,Nucleotide Catabolism,4,2300,29,0.645499438930813,DNPH1;NT5C;NUDT5;SAMHD1,0.9999999999999972
Reactome_2024,up,Regulation of Glucokinase by Glucokinase Regulatory Protein,4,2300,29,0.645499438930813,NDC1;NUP133;NUP50;NUP93,0.9999999999999972
Reactome_2024,up,Synthesis of PA,4,2300,29,0.645499438930813,ACP6;AGPAT1;LCLAT1;PLA2G10,0.9999999999999972
