dataset,donor,disease,tissue,subtype,n_cells,n_secretory_candidates,median_ig_fraction,n_classified_secretory,proportion_of_candidates,proportion_of_classified,proportion,classification_coverage,logit_candidate_fraction
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Ambiguous_secretory,61,934,0.0,934,0.0653104925053533,0.0653104925053533,0.0653104925053533,1.0,-2.653470954761639
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Goblet,2,934,0.0,934,0.0021413276231263,0.0021413276231263,0.0021413276231263,1.0,-5.921578419643816
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Inflammatory_secretory,178,934,0.0,934,0.1905781584582441,0.1905781584582441,0.1905781584582441,1.0,-1.4441139320087168
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Mucous_glandular,10,934,0.0,934,0.0107066381156316,0.0107066381156316,0.0107066381156316,1.0,-4.477877793663701
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Serous_glandular,490,934,0.0,934,0.5246252676659529,0.5246252676659529,0.5246252676659529,1.0,0.09847522405145873
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Surface_club,4,934,0.0,934,0.0042826552462526,0.0042826552462526,0.0042826552462526,1.0,-5.331644679306032
GSE235711,CRSwNP_3,CRSwNP,Ethmoid,Transitional_secretory,189,934,0.0,934,0.2023554603854389,0.2023554603854389,0.2023554603854389,1.0,-1.3696661096823122
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Ambiguous_secretory,153,3671,0.0,3671,0.041678016889131,0.041678016889131,0.041678016889131,1.0,-3.132089474379352
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Goblet,8,3671,0.0,3671,0.0021792427131571,0.0021792427131571,0.0021792427131571,1.0,-6.066108090103747
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Inflammatory_secretory,409,3671,0.0,3671,0.1114137837101607,0.1114137837101607,0.1114137837101607,1.0,-2.0753121483378245
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Mucous_glandular,5,3671,0.0,3671,0.0013620266957232,0.0013620266957232,0.0013620266957232,1.0,-6.502244715295429
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Serous_glandular,2327,3671,0.0,3671,0.6338872241895941,0.6338872241895941,0.6338872241895941,1.0,0.5487725334423029
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Surface_club,2,3671,0.0004277159965782,3671,0.0005448106782892,0.0005448106782892,0.0005448106782892,1.0,-7.291519960110962
GSE235711,CRSwNP_3,CRSwNP,Nasal_polyp,Transitional_secretory,767,3671,0.0,3671,0.2089348951239444,0.2089348951239444,0.2089348951239444,1.0,-1.330878057971235
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Ambiguous_secretory,38,611,0.0003266199174568,611,0.0621931260229132,0.0621931260229132,0.0621931260229132,1.0,-2.701099695275687
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Goblet,4,611,0.0013859160022629,611,0.0065466448445171,0.0065466448445171,0.0065466448445171,1.0,-4.90527477843843
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Inflammatory_secretory,20,611,0.0004087118718455,611,0.0327332242225859,0.0327332242225859,0.0327332242225859,1.0,-3.362236797274079
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Mucous_glandular,6,611,0.0003479471120389,611,0.0098199672667757,0.0098199672667757,0.0098199672667757,1.0,-4.534252386091556
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Serous_glandular,427,611,0.0001380770469922,611,0.6988543371522095,0.6988543371522095,0.6988543371522095,1.0,0.8403048248962328
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Surface_club,1,611,0.0,611,0.0016366612111292,0.0016366612111292,0.0016366612111292,1.0,-6.008813185442595
GSE235711,CRSwNP_4,CRSwNP,Nasal_polyp,Transitional_secretory,115,611,0.000157331655129,611,0.188216039279869,0.188216039279869,0.188216039279869,1.0,-1.458312953523379
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Ambiguous_secretory,78,1330,0.0001472693655149,1330,0.0586466165413533,0.0586466165413533,0.0586466165413533,1.0,-2.769798208170657
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Goblet,37,1330,0.0001097574360662,1330,0.0278195488721804,0.0278195488721804,0.0278195488721804,1.0,-3.540766068649719
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Inflammatory_secretory,759,1330,0.0001202645820805,1330,0.5706766917293233,0.5706766917293233,0.5706766917293233,1.0,0.28439583880096203
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Mucous_glandular,0,1330,,1330,0.0,0.0,0.0,1.0,-7.886457270977689
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Serous_glandular,339,1330,0.0001174260216063,1330,0.2548872180451128,0.2548872180451128,0.2548872180451128,1.0,-1.0717450009610998
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Surface_club,2,1330,0.0006615542667392,1330,0.0015037593984962,0.0015037593984962,0.0015037593984962,1.0,-6.275515033325713
GSE235711,CRSwNP_5,CRSwNP,Nasal_polyp,Transitional_secretory,115,1330,0.0001734605377276,1330,0.0864661654135338,0.0864661654135338,0.0864661654135338,1.0,-2.35364026379433
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Ambiguous_secretory,12,202,0.0,202,0.0594059405940594,0.0594059405940594,0.0594059405940594,1.0,-2.7239235502585
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Goblet,0,202,,202,0.0,0.0,0.0,1.0,-6.003887067106539
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Inflammatory_secretory,23,202,0.0,202,0.1138613861386138,0.1138613861386138,0.1138613861386138,1.0,-2.03317478677822
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Mucous_glandular,5,202,3.279279870140517e-05,202,0.0247524752475247,0.0247524752475247,0.0247524752475247,1.0,-3.5809904921027513
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Serous_glandular,129,202,0.0,202,0.6386138613861386,0.6386138613861386,0.6386138613861386,1.0,0.5663954749208017
GSE235711,CRSwNP_6,CRSwNP,Ethmoid,Surface_club,0,202,,202,0.0,0.0,0.0,1.0,-6.003887067106539
