source,target,cor_discovery,cor_validation,consensus_weight
FOLH1,OGFRL1,0.6919887314530493,0.57223985987822,0.6292722262455258
CEACAM1,SOX9,0.6632393243152549,0.5970077150371695,0.6292527262811394
HP,GPAT2,0.5831248196131756,0.6789321962865486,0.6292076084164676
DEPTOR,C6orf58,0.6822700420031473,0.5801955078534388,0.6291661255290236
ADGRG6,NDRG2,0.598805034426215,0.6609827847130086,0.6291262346740983
ST3GAL6,CRISP2,0.5894857357873798,0.671411542115226,0.62911646530665
SLC37A2,MCFD2,0.6810845133761414,0.5810499881545214,0.6290819886385517
GALNT6,SOX9,0.5899315306776031,0.6707989334341389,0.6290671200895062
GPAT2,BPIFB2,0.6179295829353455,0.6403019541665708,0.6290163109894972
ITGA6,IRX2,0.5582663367721299,0.7087005541274248,0.6290021162294258
MANSC1,HID1,0.7203485104147506,0.5492100043125787,0.6289853802048541
CHRM1,CES3,0.7057781932483567,0.5605340647916269,0.6289775190758345
SLC22A3,PRSS8,0.5597265439471117,0.706698072485345,0.6289337562305808
SLC31A2,BHLHA15,0.6087207425761476,0.6497771281662797,0.6289139972733748
FOLH1,LIMCH1,0.6260137263539498,0.6317048998882163,0.6288528749517419
TBC1D24,CEACAM1,0.5622008711887262,0.7032578600201502,0.6287862765468468
PLCB1,GALNT13,0.6854347824559428,0.5765720549964783,0.628651366885245
P4HB,BHLHA15,0.5636166049332756,0.7011499069416198,0.6286332238274699
GALNT6,ST3GAL6,0.7117807747142572,0.5551926706281697,0.6286298348117086
AZGP1,SERP1,0.6137903827655699,0.6437885588838621,0.6286105519138382
SLC22A3,SAP30BP,0.6783394710690601,0.5825015083238941,0.6285966632534411
BPIFB2,SERP1,0.577805595273946,0.6835618183451243,0.6284630803439814
FOLH1,SNPH,0.5796400797497983,0.6812555930896833,0.6283972042494302
DYNC1I1,KIAA1324,0.5922615846444804,0.6666320949705096,0.6283475001478909
ATP6V0E2,SSR3,0.6493956832561221,0.6078227917303745,0.6282654670872736
PIGR,SEC63,0.661023025531378,0.5970056973966119,0.6281994208470577
CHRM1,SLC31A2,0.7220098634258552,0.5464781581961176,0.6281421975670729
SLC22A3,IRX2,0.5563832177173679,0.7090808734672421,0.6281088265591767
SLC12A2,AGFG2,0.7000888043985923,0.5634428750209325,0.6280605454256063
EGF,EPHA7,0.6457866037144173,0.6105622700764216,0.6279274916332435
CHRM3,SLC25A48,0.6867760424765781,0.5740233907859706,0.6278738030949971
CA2,SLC5A1,0.7206496748282221,0.5470004489671835,0.6278500582775256
CCL28,DLX6-AS1,0.7805778780939425,0.5048942008918498,0.6277812071049091
SLC37A2,SRPRA,0.6700982152274267,0.5880087334914885,0.627712994011424
FAHD2A,ALDH18A1,0.6227102367808738,0.6327121818440538,0.6276912876329048
NRG3,PIGR,0.6588374451415636,0.5979748632963643,0.6276688865899379
SMAD9,ST3GAL6,0.6254196502381626,0.629755054996167,0.6275836089569402
TNFSF13,ANO5,0.6820459056184472,0.5774346235480724,0.6275642761927197
CRISP3,PART1,0.7354598582780385,0.5354803205429564,0.6275542053537697
FOLH1,EPHA7,0.653317776678654,0.60279693066183,0.6275491618420851
PPP1R1B,SMAD9,0.6610824420880171,0.5956669525172399,0.6275228789783077
TUSC8,KIAA1324,0.7041102246138314,0.5592559837604714,0.627517215972769
SLC5A1,OGFRL1,0.6638867354235803,0.5928725631239398,0.6273756693198764
CA2,MGAM2,0.6768283484069249,0.5815144565853471,0.6273639049430648
BPIFB2,LINC01554,0.6474101134609168,0.6078847986501358,0.6273362467331622
F5,TNFSF13,0.6514672824480648,0.6040952730467113,0.6273342855858133
SLC22A3,LIMCH1,0.5761286328224197,0.6830128877362461,0.6272983988594075
CHPT1,SLAIN1,0.6540180091066717,0.6016627839241772,0.6272944253663251
TCN1,XBP1,0.6158622337438332,0.6388210095499719,0.6272365852722052
PKDCC,SLC12A2,0.5929572785860581,0.6634436181212056,0.6272110667840914
KANK4,C3orf70,0.5582561128939286,0.7046358493641297,0.6271899794095334
ANO1,CEP85L,0.6421221968798784,0.6125349881127413,0.6271541375393641
AZGP1,GALNT6,0.7689816734141346,0.5113793552651656,0.6270895887839698
SLC5A1,ADGRG2,0.577928303668176,0.6803509938577942,0.6270519083610165
ATP2A3,TUSC8,0.7292819584658281,0.5388674316158429,0.6268861905340176
MPO,TNFSF13,0.6191753825463638,0.6346597926837961,0.6268697790783867
PADI2,CSN3,0.589016168363671,0.667115818117841,0.6268508618822872
ATP2A3,EGF,0.7788800445929516,0.5044898209925157,0.626846914542411
SMAD9,AIF1L,0.7762566925950981,0.5061311477518275,0.6268075388611679
SLC13A2,RASAL1,0.6358788377942843,0.6177806409422164,0.6267644182419297
CHRM1,ARHGEF37,0.6889289969515872,0.570055670563783,0.6266800470160762
TCN1,SLAIN1,0.6857948816079198,0.5726034995328272,0.626648664859661
MCFD2,ALDH9A1,0.5959773369956485,0.6588164037498495,0.6266096439378229
SLC13A2,LPO,0.7945096713995007,0.49416384855975354,0.6265923371193766
CHRM3,GALNT13,0.7451691989497842,0.5268828788699538,0.6265914879631542
SLC37A2,SSR3,0.5937198307115357,0.6611093672613844,0.6265091712115949
SLC22A3,AGFG2,0.6663520725198552,0.5890008051582795,0.6264837645406965
KCNN4,IRX2,0.6173598180984958,0.6356331826423418,0.6264298731809045
SLITRK5,TMEM63A,0.6828403553680157,0.5746479151059891,0.6264126328247722
