source,target,cor_discovery,cor_validation,is_consensus,consensus_weight
PPP1R1B,GATM,0.7733406896484301,0.3077632440174204,True,0.48785842144711405
PPP1R1B,RASAL1,0.7196089590575592,0.5821662478011973,True,0.6472496022236435
PPP1R1B,CEACAM1,0.6596559206240576,0.5634534552341909,True,0.6096600755677842
PPP1R1B,LTF,0.8781004136863221,0.5326131244499196,True,0.6838770393237654
PPP1R1B,CLDN10-AS1,0.724099644549992,0.5494815028423359,True,0.6307767916584525
PPP1R1B,TBC1D24,0.671166200893118,0.32016305376797055,True,0.4635543338852392
PPP1R1B,ZG16B,0.810831620241931,0.6086162639563987,True,0.7024850969304313
PPP1R1B,FDCSP,0.805236889130813,0.7526839451221388,True,0.7785171022327375
PPP1R1B,MUC7,0.7535586439528642,0.6175449371522396,True,0.6821703052906938
PPP1R1B,KIRREL3,0.7221450170721354,0.5505364584225947,True,0.6305292698728725
PPP1R1B,PIP,0.7557642335450601,0.4993602614901998,True,0.6143277832623245
PPP1R1B,HP,0.6776854681856138,0.5282883430069262,True,0.5983421538448139
PPP1R1B,HID1,0.6873990314662904,0.4835232375465454,True,0.5765183476533425
PPP1R1B,LINC01554,0.6586837472799029,0.5732462476295231,True,0.6144818846009681
PPP1R1B,SERP1,0.5896936931485836,0.6938910507953451,True,0.6396742736629779
PPP1R1B,ID4,0.6963696592365645,0.6487710290629425,True,0.672149135557814
PPP1R1B,CES3,0.6204762380795797,0.6482669708505324,True,0.6342194031599656
PPP1R1B,GNPTAB,0.6474867018129913,0.4799655660215917,True,0.5574686729558226
PPP1R1B,PKDCC,0.5946975460119884,0.6559064576043334,True,0.6245526084732281
PPP1R1B,OXGR1,0.7409351956121296,0.6230124610443345,True,0.6794202379180931
PPP1R1B,BHLHA15,0.6076122921537436,0.6603915962494004,True,0.6334524856026439
PPP1R1B,TNFRSF11A,0.7378007896303738,0.5679912647133607,True,0.6473518391173939
PPP1R1B,SMAD9,0.6610824420880171,0.5956669525172399,True,0.6275228789783077
PPP1R1B,ARHGEF37,0.6683807161194057,0.4438632367372618,True,0.5446738730924482
PPP1R1B,DLK1,0.5783517888046721,0.4669222007955199,True,0.519658820826418
PPP1R1B,CRISP2,0.6209580046533394,0.7401939384015238,True,0.6779596972138587
PPP1R1B,PLA2R1,0.5660230023950946,0.7912936439077256,True,0.6692461461232375
PPP1R1B,EPHA7,0.7083999877858951,0.8216050885377851,True,0.7629056525449239
PPP1R1B,AIF1L,0.7205004498634989,0.368408484249549,True,0.515207219121908
